orthogroup	module_Tadh	ct_Tadh	module_TrH2	ct_TrH2	module_Hhon	ct_Hhon	module_HoiH23	ct_HoiH23
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.skyblue3	epithelia	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.ivory	epithelia
OG_1362	Tadh.salmon4	epithelia	TrH2.brown	epithelia	Hhon.thistle2	gland	HoiH23.blue	fibre
